Variable,Fechas,Montos,Tipo_Valores,Enfoque
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2000,10118.3,Corrientes,missing
Producto Interno Bruto a precios de mercado,2000,106654.2,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2000,70839.7,Corrientes,missing
DEMANDA GLOBAL ,2000,177493.8,Corrientes,missing
Demanda Interna,2000,119930.2,Corrientes,missing
    Gastos de Consumo Final,2000,89759.4,Corrientes,missing
       Sector Privado,2000,75458.7,Corrientes,missing
       Sector Público,2000,14300.7,Corrientes,missing
    Inversión Interna Bruta,2000,30170.800000000003,Corrientes,missing
      Formación Bruta de Capital Fijo,2000,27487.4,Corrientes,missing
       Sector Privado,2000,21630.4,Corrientes,missing
       Sector Público,2000,5857.0,Corrientes,missing
     Variación de Existencias,2000,2683.4,Corrientes,missing
Demanda  Externa,2000,57563.6,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2000,57563.6,Corrientes,missing
OFERTA GLOBAL,2001,194866.5,Corrientes,missing
Valor Agregado Bruto a precios básicos,2001,106866.9,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2001,15590.6,Corrientes,missing
       Explotación de Minas y Canteras,2001,684.4,Corrientes,missing
       Industria Manufacturera,2001,23255.1,Corrientes,missing
       Construcción,2001,6443.2,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2001,17992.1,Corrientes,missing
       Otros Servicios,2001,47203.4,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2001,4301.9,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2001,11548.8,Corrientes,missing
Producto Interno Bruto a precios de mercado,2001,118415.7,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2001,76450.8,Corrientes,missing
DEMANDA GLOBAL ,2001,194866.6,Corrientes,missing
Demanda Interna,2001,134022.6,Corrientes,missing
    Gastos de Consumo Final,2001,103233.4,Corrientes,missing
       Sector Privado,2001,85841.2,Corrientes,missing
       Sector Público,2001,17392.2,Corrientes,missing
    Inversión Interna Bruta,2001,30789.2,Corrientes,missing
      Formación Bruta de Capital Fijo,2001,28345.7,Corrientes,missing
       Sector Privado,2001,21859.9,Corrientes,missing
       Sector Público,2001,6485.8,Corrientes,missing
     Variación de Existencias,2001,2443.5,Corrientes,missing
Demanda  Externa,2001,60844.0,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2001,60844.0,Corrientes,missing
OFERTA GLOBAL,2001,182937.3,Corrientes,missing
Valor Agregado Bruto,2001,99243.6,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2001,15654.0,Corrientes,missing
       Explotación de Minas y Canteras,2001,657.0,Corrientes,missing
       Industria Manufacturera,2001,22745.0,Corrientes,missing
       Construcción,2001,5758.0,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2001,15896.0,Corrientes,missing
       Otros Servicios,2001,43234.9,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2001,4701.3,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2001,10315.0,Corrientes,missing
Producto Interno Bruto a precios de mercado,2001,109558.6,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2001,73378.7,Corrientes,missing
DEMANDA GLOBAL ,2001,182937.3,Corrientes,missing
Demanda Interna,2001,123093.7,Corrientes,missing
    Gastos de Consumo Final,2001,94100.0,Corrientes,missing
       Sector Privado,2001,78884.8,Corrientes,missing
       Sector Público,2001,15215.2,Corrientes,missing
    Inversión Interna Bruta,2001,28993.699999999997,Corrientes,missing
      Formación Bruta de Capital Fijo,2001,26660.1,Corrientes,missing
       Sector Privado,2001,20671.0,Corrientes,missing
       Sector Público,2001,5989.1,Corrientes,missing
     Variación de Existencias,2001,2333.6,Corrientes,missing
Demanda  Externa,2001,59843.6,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2001,59843.6,Corrientes,missing
OFERTA GLOBAL,2002,213469.6,Corrientes,missing
Valor Agregado Bruto a precios básicos,2002,116985.4,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2002,15736.9,Corrientes,missing
       Explotación de Minas y Canteras,2002,717.4,Corrientes,missing
       Industria Manufacturera,2002,25694.1,Corrientes,missing
       Construcción,2002,6431.9,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2002,20455.3,Corrientes,missing
       Otros Servicios,2002,52750.8,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2002,4801.1,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2002,12181.2,Corrientes,missing
Producto Interno Bruto a precios de mercado,2002,129166.6,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2002,84303.0,Corrientes,missing
DEMANDA GLOBAL ,2002,213469.59999999998,Corrientes,missing
Demanda Interna,2002,145359.3,Corrientes,missing
    Gastos de Consumo Final,2002,114025.5,Corrientes,missing
       Sector Privado,2002,94682.1,Corrientes,missing
       Sector Público,2002,19343.4,Corrientes,missing
    Inversión Interna Bruta,2002,31333.8,Corrientes,missing
      Formación Bruta de Capital Fijo,2002,27793.6,Corrientes,missing
       Sector Privado,2002,23425.3,Corrientes,missing
       Sector Público,2002,4368.2,Corrientes,missing
     Variación de Existencias,2002,3540.2,Corrientes,missing
Demanda  Externa,2002,68110.3,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2002,68110.3,Corrientes,missing
OFERTA GLOBAL,2002,191382.0,Corrientes,missing
Valor Agregado Bruto,2002,102950.5,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2002,16358.9,Corrientes,missing
       Explotación de Minas y Canteras,2002,619.0,Corrientes,missing
       Industria Manufacturera,2002,24510.8,Corrientes,missing
       Construcción,2002,5098.0,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2002,16417.8,Corrientes,missing
       Otros Servicios,2002,45558.5,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2002,5612.5,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2002,10721.5,Corrientes,missing
Producto Interno Bruto a precios de mercado,2002,113671.8,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2002,77710.0,Corrientes,missing
DEMANDA GLOBAL ,2002,191382.0,Corrientes,missing
Demanda Interna,2002,125547.8,Corrientes,missing
    Gastos de Consumo Final,2002,97877.0,Corrientes,missing
       Sector Privado,2002,82184.8,Corrientes,missing
       Sector Público,2002,15692.2,Corrientes,missing
    Inversión Interna Bruta,2002,27670.8,Corrientes,missing
      Formación Bruta de Capital Fijo,2002,24718.3,Corrientes,missing
       Sector Privado,2002,20956.2,Corrientes,missing
       Sector Público,2002,3762.1,Corrientes,missing
     Variación de Existencias,2002,2952.5,Corrientes,missing
Demanda  Externa,2002,65834.2,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2002,65834.2,Corrientes,missing
OFERTA GLOBAL,2003,240154.19999999998,Corrientes,missing
Valor Agregado Bruto a precios básicos,2003,129999.9,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2003,16587.0,Corrientes,missing
       Explotación de Minas y Canteras,2003,900.4,Corrientes,missing
       Industria Manufacturera,2003,28240.8,Corrientes,missing
       Construcción,2003,7852.7,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2003,22530.8,Corrientes,missing
       Otros Servicios,2003,59064.1,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2003,5175.8,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2003,12817.9,Corrientes,missing
Producto Interno Bruto a precios de mercado,2003,142817.8,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2003,97336.4,Corrientes,missing
DEMANDA GLOBAL ,2003,240154.2,Corrientes,missing
Demanda Interna,2003,162898.30000000002,Corrientes,missing
    Gastos de Consumo Final,2003,126792.70000000001,Corrientes,missing
       Sector Privado,2003,105483.1,Corrientes,missing
       Sector Público,2003,21309.6,Corrientes,missing
    Inversión Interna Bruta,2003,36105.6,Corrientes,missing
      Formación Bruta de Capital Fijo,2003,32742.8,Corrientes,missing
       Sector Privado,2003,25758.4,Corrientes,missing
       Sector Público,2003,6984.4,Corrientes,missing
     Variación de Existencias,2003,3362.8,Corrientes,missing
Demanda  Externa,2003,77255.9,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2003,77255.9,Corrientes,missing
OFERTA GLOBAL,2003,202678.7,Corrientes,missing
Valor Agregado Bruto,2003,107522.2,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2003,16743.2,Corrientes,missing
       Explotación de Minas y Canteras,2003,671.6,Corrientes,missing
       Industria Manufacturera,2003,26082.3,Corrientes,missing
       Construcción,2003,5289.6,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2003,16761.4,Corrientes,missing
       Otros Servicios,2003,48331.3,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2003,6357.2,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2003,11318.4,Corrientes,missing
Producto Interno Bruto a precios de mercado,2003,118840.5,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2003,83838.0,Corrientes,missing
DEMANDA GLOBAL ,2003,202678.7,Corrientes,missing
Demanda Interna,2003,131098.5,Corrientes,missing
    Gastos de Consumo Final,2003,102081.1,Corrientes,missing
       Sector Privado,2003,85803.0,Corrientes,missing
       Sector Público,2003,16278.1,Corrientes,missing
    Inversión Interna Bruta,2003,29017.399999999998,Corrientes,missing
      Formación Bruta de Capital Fijo,2003,26247.8,Corrientes,missing
       Sector Privado,2003,21113.9,Corrientes,missing
       Sector Público,2003,5133.9,Corrientes,missing
     Variación de Existencias,2003,2769.6,Corrientes,missing
Demanda  Externa,2003,71580.2,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2003,71580.2,Corrientes,missing
OFERTA GLOBAL,2004,285930.9,Corrientes,missing
Valor Agregado Bruto a precios básicos,2004,147110.5,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2004,19656.6,Corrientes,missing
       Explotación de Minas y Canteras,2004,1098.8,Corrientes,missing
       Industria Manufacturera,2004,30940.4,Corrientes,missing
       Construcción,2004,8628.2,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2004,25985.4,Corrientes,missing
       Otros Servicios,2004,66693.3,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2004,5892.1,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2004,14397.0,Corrientes,missing
Producto Interno Bruto a precios de mercado,2004,161507.5,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2004,124423.4,Corrientes,missing
DEMANDA GLOBAL ,2004,285930.9,Corrientes,missing
Demanda Interna,2004,191573.4,Corrientes,missing
    Gastos de Consumo Final,2004,143661.3,Corrientes,missing
       Sector Privado,2004,119417.8,Corrientes,missing
       Sector Público,2004,24243.5,Corrientes,missing
    Inversión Interna Bruta,2004,47912.100000000006,Corrientes,missing
      Formación Bruta de Capital Fijo,2004,43736.8,Corrientes,missing
       Sector Privado,2004,34118.0,Corrientes,missing
       Sector Público,2004,9618.8,Corrientes,missing
     Variación de Existencias,2004,4175.3,Corrientes,missing
Demanda  Externa,2004,94357.5,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2004,94357.5,Corrientes,missing
OFERTA GLOBAL,2004,223638.6,Corrientes,missing
Valor Agregado Bruto,2004,114235.2,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2004,17952.3,Corrientes,missing
       Explotación de Minas y Canteras,2004,634.0,Corrientes,missing
       Industria Manufacturera,2004,27135.1,Corrientes,missing
       Construcción,2004,5353.6,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2004,17457.7,Corrientes,missing
       Otros Servicios,2004,53116.8,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2004,7414.3,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2004,12011.8,Corrientes,missing
Producto Interno Bruto a precios de mercado,2004,126247.0,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2004,97391.6,Corrientes,missing
DEMANDA GLOBAL ,2004,223638.6,Corrientes,missing
Demanda Interna,2004,142608.5,Corrientes,missing
    Gastos de Consumo Final,2004,107226.70000000001,Corrientes,missing
       Sector Privado,2004,90075.1,Corrientes,missing
       Sector Público,2004,17151.6,Corrientes,missing
    Inversión Interna Bruta,2004,35381.799999999996,Corrientes,missing
      Formación Bruta de Capital Fijo,2004,32382.6,Corrientes,missing
       Sector Privado,2004,26002.9,Corrientes,missing
       Sector Público,2004,6379.7,Corrientes,missing
     Variación de Existencias,2004,2999.2,Corrientes,missing
Demanda  Externa,2004,81030.1,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2004,81030.1,Corrientes,missing
OFERTA GLOBAL,2005,326122.1,Corrientes,missing
Valor Agregado Bruto a precios básicos,2005,167846.3,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2005,22915.0,Corrientes,missing
       Explotación de Minas y Canteras,2005,1184.4,Corrientes,missing
       Industria Manufacturera,2005,35066.3,Corrientes,missing
       Construcción,2005,9407.4,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2005,30276.4,Corrientes,missing
       Otros Servicios,2005,75908.8,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2005,6912.1,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2005,15901.2,Corrientes,missing
Producto Interno Bruto a precios de mercado,2005,183747.4,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2005,142374.7,Corrientes,missing
DEMANDA GLOBAL ,2005,326122.1,Corrientes,missing
Demanda Interna,2005,217700.4,Corrientes,missing
    Gastos de Consumo Final,2005,166943.6,Corrientes,missing
       Sector Privado,2005,138421.2,Corrientes,missing
       Sector Público,2005,28522.4,Corrientes,missing
    Inversión Interna Bruta,2005,50756.799999999996,Corrientes,missing
      Formación Bruta de Capital Fijo,2005,45779.6,Corrientes,missing
       Sector Privado,2005,37562.9,Corrientes,missing
       Sector Público,2005,8216.7,Corrientes,missing
     Variación de Existencias,2005,4977.2,Corrientes,missing
Demanda  Externa,2005,108421.7,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2005,108421.7,Corrientes,missing
OFERTA GLOBAL,2005,234798.9,Corrientes,missing
Valor Agregado Bruto,2005,121206.7,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2005,17540.5,Corrientes,missing
       Explotación de Minas y Canteras,2005,630.4,Corrientes,missing
       Industria Manufacturera,2005,29033.8,Corrientes,missing
       Construcción,2005,5229.0,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2005,18407.9,Corrientes,missing
       Otros Servicios,2005,59445.1,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2005,9080.0,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2005,12679.0,Corrientes,missing
Producto Interno Bruto a precios de mercado,2005,133885.7,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2005,100913.1,Corrientes,missing
DEMANDA GLOBAL ,2005,234798.9,Corrientes,missing
Demanda Interna,2005,149469.0,Corrientes,missing
    Gastos de Consumo Final,2005,114494.6,Corrientes,missing
       Sector Privado,2005,95604.6,Corrientes,missing
       Sector Público,2005,18890.0,Corrientes,missing
    Inversión Interna Bruta,2005,34974.4,Corrientes,missing
      Formación Bruta de Capital Fijo,2005,31918.3,Corrientes,missing
       Sector Privado,2005,26455.3,Corrientes,missing
       Sector Público,2005,5463.0,Corrientes,missing
     Variación de Existencias,2005,3056.1,Corrientes,missing
Demanda  Externa,2005,85329.9,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2005,85329.9,Corrientes,missing
OFERTA GLOBAL,2006,365289.0,Corrientes,missing
Valor Agregado Bruto a precios básicos,2006,188386.2,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2006,24458.7,Corrientes,missing
       Explotación de Minas y Canteras,2006,2396.4,Corrientes,missing
       Industria Manufacturera,2006,39133.1,Corrientes,missing
       Construcción,2006,11390.0,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2006,35184.1,Corrientes,missing
       Otros Servicios,2006,84636.0,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2006,8812.1,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2006,17901.8,Corrientes,missing
Producto Interno Bruto a precios de mercado,2006,206288.0,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2006,159001.0,Corrientes,missing
DEMANDA GLOBAL ,2006,365289.0,Corrientes,missing
Demanda Interna,2006,249655.0,Corrientes,missing
    Gastos de Consumo Final,2006,191189.4,Corrientes,missing
       Sector Privado,2006,160238.4,Corrientes,missing
       Sector Público,2006,30951.0,Corrientes,missing
    Inversión Interna Bruta,2006,58465.6,Corrientes,missing
      Formación Bruta de Capital Fijo,2006,56371.0,Corrientes,missing
       Sector Privado,2006,48212.0,Corrientes,missing
       Sector Público,2006,8159.0,Corrientes,missing
     Variación de Existencias,2006,2094.6,Corrientes,missing
Demanda  Externa,2006,115634.0,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2006,115634.0,Corrientes,missing
OFERTA GLOBAL,2006,247684.0,Corrientes,missing
Valor Agregado Bruto,2006,129549.8,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2006,18869.7,Corrientes,missing
       Explotación de Minas y Canteras,2006,608.3,Corrientes,missing
       Industria Manufacturera,2006,30353.4,Corrientes,missing
       Construcción,2006,5720.5,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2006,19418.9,Corrientes,missing
       Otros Servicios,2006,66323.5,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2006,11744.5,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2006,13128.5,Corrientes,missing
Producto Interno Bruto a precios de mercado,2006,142678.3,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2006,105005.5,Corrientes,missing
DEMANDA GLOBAL ,2006,247684.0,Corrientes,missing
Demanda Interna,2006,161029.1,Corrientes,missing
    Gastos de Consumo Final,2006,123530.8,Corrientes,missing
       Sector Privado,2006,103913.1,Corrientes,missing
       Sector Público,2006,19617.7,Corrientes,missing
    Inversión Interna Bruta,2006,37498.3,Corrientes,missing
      Formación Bruta de Capital Fijo,2006,36180.8,Corrientes,missing
       Sector Privado,2006,31043.8,Corrientes,missing
       Sector Público,2006,5137.0,Corrientes,missing
     Variación de Existencias,2006,1317.5,Corrientes,missing
Demanda  Externa,2006,86655.6,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2006,86655.6,Corrientes,missing
OFERTA GLOBAL,2007,424068.4,Corrientes,missing
Valor Agregado Bruto a precios básicos,2007,213881.0,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2007,27820.3,Corrientes,missing
       Explotación de Minas y Canteras,2007,2770.1,Corrientes,missing
       Industria Manufacturera,2007,41928.7,Corrientes,missing
       Construcción,2007,13925.5,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2007,39943.1,Corrientes,missing
       Otros Servicios,2007,98794.7,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2007,11301.3,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2007,19686.2,Corrientes,missing
Producto Interno Bruto a precios de mercado,2007,233567.2,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2007,190501.2,Corrientes,missing
DEMANDA GLOBAL ,2007,424068.4,Corrientes,missing
Demanda Interna,2007,299089.0,Corrientes,missing
    Gastos de Consumo Final,2007,220457.90000000002,Corrientes,missing
       Sector Privado,2007,181680.2,Corrientes,missing
       Sector Público,2007,38777.7,Corrientes,missing
    Inversión Interna Bruta,2007,78631.09999999999,Corrientes,missing
      Formación Bruta de Capital Fijo,2007,75193.4,Corrientes,missing
       Sector Privado,2007,65744.2,Corrientes,missing
       Sector Público,2007,9449.2,Corrientes,missing
     Variación de Existencias,2007,3437.7,Corrientes,missing
Demanda  Externa,2007,124979.4,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2007,124979.4,Corrientes,missing
OFERTA GLOBAL,2007,267945.5,Corrientes,missing
Valor Agregado Bruto,2007,137710.9,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2007,19915.4,Corrientes,missing
       Explotación de Minas y Canteras,2007,529.2,Corrientes,missing
       Industria Manufacturera,2007,31876.9,Corrientes,missing
       Construcción,2007,6096.3,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2007,20162.0,Corrientes,missing
       Otros Servicios,2007,74465.8,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2007,15334.8,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2007,13796.8,Corrientes,missing
Producto Interno Bruto a precios de mercado,2007,151507.7,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2007,116437.8,Corrientes,missing
DEMANDA GLOBAL ,2007,267945.5,Corrientes,missing
Demanda Interna,2007,179091.4,Corrientes,missing
    Gastos de Consumo Final,2007,132346.3,Corrientes,missing
       Sector Privado,2007,110222.0,Corrientes,missing
       Sector Público,2007,22124.3,Corrientes,missing
    Inversión Interna Bruta,2007,46745.1,Corrientes,missing
      Formación Bruta de Capital Fijo,2007,44997.9,Corrientes,missing
       Sector Privado,2007,39342.9,Corrientes,missing
       Sector Público,2007,5655.0,Corrientes,missing
     Variación de Existencias,2007,1747.2,Corrientes,missing
Demanda  Externa,2007,88854.0,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2007,88854.0,Corrientes,missing
OFERTA GLOBAL,2008,483958.9,Corrientes,missing
Valor Agregado Bruto a precios básicos,2008,243193.5,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2008,31884.1,Corrientes,missing
       Explotación de Minas y Canteras,2008,2036.1,Corrientes,missing
       Industria Manufacturera,2008,46723.9,Corrientes,missing
       Construcción,2008,16432.2,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2008,45553.9,Corrientes,missing
       Otros Servicios,2008,113855.7,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2008,13292.4,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2008,19223.4,Corrientes,missing
Producto Interno Bruto a precios de mercado,2008,262416.9,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2008,221542.0,Corrientes,missing
DEMANDA GLOBAL ,2008,483958.9,Corrientes,missing
Demanda Interna,2008,349272.7,Corrientes,missing
    Gastos de Consumo Final,2008,254629.5,Corrientes,missing
       Sector Privado,2008,209717.3,Corrientes,missing
       Sector Público,2008,44912.2,Corrientes,missing
    Inversión Interna Bruta,2008,94643.2,Corrientes,missing
      Formación Bruta de Capital Fijo,2008,88165.2,Corrientes,missing
       Sector Privado,2008,77018.3,Corrientes,missing
       Sector Público,2008,11146.9,Corrientes,missing
     Variación de Existencias,2008,6478.0,Corrientes,missing
Demanda  Externa,2008,134686.2,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2008,134686.2,Corrientes,missing
OFERTA GLOBAL,2008,277129.3,Corrientes,missing
Valor Agregado Bruto,2008,145159.3,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2008,20299.1,Corrientes,missing
       Explotación de Minas y Canteras,2008,480.0,Corrientes,missing
       Industria Manufacturera,2008,32957.0,Corrientes,missing
       Construcción,2008,6527.3,Corrientes,missing
"       Comercio, Hoteles y Restaurantes",2008,20795.4,Corrientes,missing
       Otros Servicios,2008,80598.6,Corrientes,missing
  Menos: Servicios de Intermediación Financiera Medidos Indirectamente,2008,16498.2,Corrientes,missing
 Impuestos  netos de subvenciones sobre la producción y las importaciones,2008,12759.6,Corrientes,missing
Producto Interno Bruto a precios de mercado,2008,157918.9,Corrientes,missing
       Importaciones de Bienes y Servicios C.I.F.,2008,119210.0,Corrientes,missing
DEMANDA GLOBAL ,2008,277129.4,Corrientes,missing
Demanda Interna,2008,187511.5,Corrientes,missing
    Gastos de Consumo Final,2008,136604.4,Corrientes,missing
       Sector Privado,2008,113520.1,Corrientes,missing
       Sector Público,2008,23084.3,Corrientes,missing
    Inversión Interna Bruta,2008,50907.1,Corrientes,missing
      Formación Bruta de Capital Fijo,2008,47814.0,Corrientes,missing
       Sector Privado,2008,41243.0,Corrientes,missing
       Sector Público,2008,6571.0,Corrientes,missing
     Variación de Existencias,2008,3093.1,Corrientes,missing
Demanda  Externa,2008,89617.9,Corrientes,missing
 Exportación de Bienes y Servicios F.O.B.,2008,89617.9,Corrientes,missing
OFERTA GLOBAL,2009,433775.5,Corrientes,missing
Valor Agregado Bruto a precios básicos,2009,255632.3,Corrientes,missing
"       Agricultura, Ganadería, Caza, Silvicultura y Pesca ",2009,29837.3,Corrientes,missing
       Explotación de Minas y Canteras,2009,2344.3,Corrientes,missing
       Industria Manufacturera,2009,45839.4,Corrientes,missing
       Construcción,2009,17147.6,Corrientes,missing
